Customer Number,Customer Name,Document Number,Document Type,Document Date,Sales Amount,Original Trx Amount
1000001,Hawler Drug Store,SINV-0000038143,Sales / Invoices,7/15/2021,813.00000,813.00000
1000001,Hawler Drug Store,SINV-0000038319,Sales / Invoices,7/26/2021,779.90000,779.90000
1000001,Hawler Drug Store,SINV-0000038320,Sales / Invoices,7/26/2021,852.70000,852.70000
1000001,Hawler Drug Store,SINV-0000038353,Sales / Invoices,7/26/2021,120.00000,120.00000
1000001,Hawler Drug Store,SINV-0000038358,Sales / Invoices,7/26/2021,168.00000,168.00000
1000001,Hawler Drug Store,SINV-0000038444,Sales / Invoices,7/27/2021,600.00000,600.00000
1000001,Hawler Drug Store,SINV-0000038497,Sales / Invoices,7/28/2021,600.00000,600.00000
1000001,Hawler Drug Store,SINV-0000038804,Sales / Invoices,8/4/2021,600.00000,600.00000
1000001,Hawler Drug Store,SINV-0000038805,Sales / Invoices,8/4/2021,"2,885.00000","2,885.00000"
1000001,Hawler Drug Store,SINV-0000038893,Sales / Invoices,8/5/2021,445.00000,445.00000
1000001,Hawler Drug Store,SINV-0000039276,Sales / Invoices,8/12/2021,300.00000,300.00000
1000001,Hawler Drug Store,SINV-0000039277,Sales / Invoices,8/12/2021,409.00000,409.00000
1000001,Hawler Drug Store,SINV-0000039289,Sales / Invoices,8/12/2021,"1,744.80000","1,744.80000"
1000001,Hawler Drug Store,SINV-0000039479,Sales / Invoices,8/16/2021,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000039541,Sales / Invoices,8/17/2021,"3,695.00000","3,695.00000"
1000001,Hawler Drug Store,SINV-0000039775,Sales / Invoices,8/24/2021,737.50000,737.50000
1000001,Hawler Drug Store,SINV-0000039910,Sales / Invoices,8/28/2021,445.00000,445.00000
1000001,Hawler Drug Store,SINV-0000039999,Sales / Invoices,9/1/2021,25.60000,25.60000
1000001,Hawler Drug Store,SINV-0000040101,Sales / Invoices,9/2/2021,900.00000,900.00000
1000001,Hawler Drug Store,SINV-0000040145,Sales / Invoices,9/4/2021,600.00000,600.00000
1000001,Hawler Drug Store,SINV-0000040156,Sales / Invoices,9/4/2021,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000040264,Sales / Invoices,9/6/2021,550.00000,550.00000
1000001,Hawler Drug Store,SINV-0000040403,Sales / Invoices,9/11/2021,435.00000,435.00000
1000001,Hawler Drug Store,SINV-0000040543,Sales / Invoices,9/14/2021,445.00000,445.00000
1000001,Hawler Drug Store,SINV-0000040883,Sales / Invoices,9/23/2021,330.00000,330.00000
1000001,Hawler Drug Store,SINV-0000041298,Sales / Invoices,10/4/2021,"2,147.50000","2,147.50000"
1000001,Hawler Drug Store,SINV-0000041348,Sales / Invoices,10/5/2021,290.00000,290.00000
1000001,Hawler Drug Store,SINV-0000041508,Sales / Invoices,10/9/2021,445.00000,445.00000
1000001,Hawler Drug Store,SINV-0000041741,Sales / Invoices,10/14/2021,435.00000,435.00000
1000001,Hawler Drug Store,SINV-0000041752,Sales / Invoices,10/14/2021,70.40000,70.40000
1000001,Hawler Drug Store,SINV-0000041831,Sales / Invoices,10/17/2021,600.00000,600.00000
1000001,Hawler Drug Store,SINV-0000041832,Sales / Invoices,10/17/2021,290.00000,290.00000
1000001,Hawler Drug Store,SINV-0000041879,Sales / Invoices,10/18/2021,51.00000,51.00000
1000001,Hawler Drug Store,SINV-0000042609,Sales / Invoices,11/7/2021,284.00000,284.00000
1000001,Hawler Drug Store,SINV-0000042667,Sales / Invoices,11/8/2021,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000042828,Sales / Invoices,11/13/2021,"1,095.30000","1,095.30000"
1000001,Hawler Drug Store,SINV-0000042913,Sales / Invoices,11/15/2021,445.00000,445.00000
1000001,Hawler Drug Store,SINV-0000042926,Sales / Invoices,11/15/2021,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000042947,Sales / Invoices,11/16/2021,468.00000,468.00000
1000001,Hawler Drug Store,SINV-0000043060,Sales / Invoices,11/18/2021,128.00000,128.00000
1000001,Hawler Drug Store,SINV-0000043102,Sales / Invoices,11/20/2021,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000043141,Sales / Invoices,11/21/2021,"1,200.00000","1,200.00000"
1000001,Hawler Drug Store,SINV-0000043675,Sales / Invoices,12/5/2021,140.00000,140.00000
1000001,Hawler Drug Store,SINV-0000043719,Sales / Invoices,12/6/2021,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000043720,Sales / Invoices,12/6/2021,313.30000,313.30000
1000001,Hawler Drug Store,SINV-0000043933,Sales / Invoices,12/11/2021,985.00000,985.00000
1000001,Hawler Drug Store,SINV-0000043934,Sales / Invoices,12/11/2021,42.00000,42.00000
1000001,Hawler Drug Store,SINV-0000043975,Sales / Invoices,12/12/2021,160.00000,160.00000
1000001,Hawler Drug Store,SINV-0000044098,Sales / Invoices,12/14/2021,"1,780.00000","1,780.00000"
1000001,Hawler Drug Store,SINV-0000044116,Sales / Invoices,12/14/2021,480.00000,480.00000
1000001,Hawler Drug Store,SINV-0000044518,Sales / Invoices,12/26/2021,834.00000,834.00000
1000001,Hawler Drug Store,SINV-0000044557,Sales / Invoices,12/27/2021,170.40000,170.40000
1000001,Hawler Drug Store,SINV-0000044871,Sales / Invoices,1/4/2022,60.00000,60.00000
1000001,Hawler Drug Store,SINV-0000045110,Sales / Invoices,1/9/2022,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000045198,Sales / Invoices,1/10/2022,536.00000,536.00000
1000001,Hawler Drug Store,SINV-0000045489,Sales / Invoices,1/16/2022,930.00000,930.00000
1000001,Hawler Drug Store,SINV-0000045726,Sales / Invoices,1/20/2022,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000045789,Sales / Invoices,1/22/2022,84.00000,84.00000
1000001,Hawler Drug Store,SINV-0000045790,Sales / Invoices,1/22/2022,105.00000,105.00000
1000001,Hawler Drug Store,SINV-0000045850,Sales / Invoices,1/24/2022,360.00000,360.00000
1000001,Hawler Drug Store,SINV-0000045893,Sales / Invoices,1/25/2022,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000045966,Sales / Invoices,1/26/2022,42.60000,42.60000
1000001,Hawler Drug Store,SINV-0000046568,Sales / Invoices,2/8/2022,"2,425.00000","2,425.00000"
1000001,Hawler Drug Store,SINV-0000047181,Sales / Invoices,2/22/2022,"1,150.00000","1,150.00000"
1000001,Hawler Drug Store,SINV-0000047672,Sales / Invoices,3/7/2022,725.00000,725.00000
1000001,Hawler Drug Store,SINV-0000048449,Sales / Invoices,3/29/2022,320.00000,320.00000
1000001,Hawler Drug Store,SINV-0000048531,Sales / Invoices,3/31/2022,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000048622,Sales / Invoices,4/3/2022,884.00000,884.00000
1000001,Hawler Drug Store,SINV-0000048786,Sales / Invoices,4/7/2022,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000048787,Sales / Invoices,4/7/2022,600.00000,600.00000
1000001,Hawler Drug Store,SINV-0000049373,Sales / Invoices,4/21/2022,393.00000,393.00000
1000001,Hawler Drug Store,SINV-0000049524,Sales / Invoices,4/26/2022,403.40000,403.40000
1000001,Hawler Drug Store,SINV-0000049582,Sales / Invoices,4/28/2022,160.00000,160.00000
1000001,Hawler Drug Store,SINV-0000049773,Sales / Invoices,5/9/2022,725.00000,725.00000
1000001,Hawler Drug Store,SINV-0000050188,Sales / Invoices,5/22/2022,600.00000,600.00000
1000001,Hawler Drug Store,SINV-0000050481,Sales / Invoices,6/1/2022,44.50000,44.50000
1000001,Hawler Drug Store,SINV-0000050503,Sales / Invoices,6/4/2022,80.00000,80.00000
1000001,Hawler Drug Store,SINV-0000050639,Sales / Invoices,6/6/2022,44.50000,44.50000
1000001,Hawler Drug Store,SINV-0000050872,Sales / Invoices,6/13/2022,"1,275.00000","1,275.00000"
1000001,Hawler Drug Store,SINV-0000051020,Sales / Invoices,6/18/2022,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000051055,Sales / Invoices,6/19/2022,"1,800.00000","1,800.00000"
1000001,Hawler Drug Store,SINV-0000051056,Sales / Invoices,6/19/2022,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000051233,Sales / Invoices,6/25/2022,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000051460,Sales / Invoices,7/3/2022,255.60000,255.60000
1000001,Hawler Drug Store,SINV-0000051663,Sales / Invoices,7/16/2022,400.00000,400.00000
1000001,Hawler Drug Store,SINV-0000051701,Sales / Invoices,7/17/2022,80.00000,80.00000
1000001,Hawler Drug Store,SINV-0000051743,Sales / Invoices,7/18/2022,240.00000,240.00000
1000001,Hawler Drug Store,SINV-0000052163,Sales / Invoices,8/1/2022,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000052202,Sales / Invoices,8/2/2022,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000052253,Sales / Invoices,8/3/2022,64.00000,64.00000
1000001,Hawler Drug Store,SINV-0000052449,Sales / Invoices,8/9/2022,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000053236,Sales / Invoices,9/13/2022,80.00000,80.00000
1000001,Hawler Drug Store,SINV-0000053248,Sales / Invoices,9/14/2022,"1,440.00000","1,440.00000"
1000001,Hawler Drug Store,SINV-0000053327,Sales / Invoices,9/19/2022,170.40000,170.40000
1000001,Hawler Drug Store,SINV-0000053336,Sales / Invoices,9/19/2022,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000053652,Sales / Invoices,10/11/2022,725.00000,725.00000
1000001,Hawler Drug Store,SINV-0000053749,Sales / Invoices,10/16/2022,99.50000,99.50000
1000001,Hawler Drug Store,SINV-0000053750,Sales / Invoices,10/16/2022,40.00000,40.00000
1000001,Hawler Drug Store,DM-0000000191,Debit Memos,4/30/2022,"3,140.78000","3,140.78000"
1000001,Hawler Drug Store,DM-0000000298,Debit Memos,7/31/2022,745.08000,745.08000
1000001,Hawler Drug Store,DM-0000000792,Debit Memos,8/31/2022,745.08000,745.08000
1000001,Hawler Drug Store,CM-000000957,Credit Memos,5/1/2021,"1,421.38000","1,421.38000"
1000001,Hawler Drug Store,CM-000001324,Credit Memos,7/10/2021,"1,539.08000","1,539.08000"
1000001,Hawler Drug Store,CM-000001408,Credit Memos,8/18/2021,"1,272.42000","1,272.42000"
1000001,Hawler Drug Store,CM-000002181,Credit Memos,12/30/2021,"2,454.38000","2,454.38000"
1000001,Hawler Drug Store,CM-000002754,Credit Memos,4/3/2022,"2,725.78000","2,725.78000"
1000001,Hawler Drug Store,CM-000002764,Credit Memos,4/3/2022,415.00000,415.00000
1000001,Hawler Drug Store,CM-000002983,Credit Memos,5/1/2022,415.00000,415.00000
1000001,Hawler Drug Store,CM-000002984,Credit Memos,5/1/2022,"2,725.78000","2,725.78000"
1000001,Hawler Drug Store,CM-000003131,Credit Memos,5/11/2022,"1,331.92000","1,331.92000"
1000001,Hawler Drug Store,CM-000003662,Credit Memos,7/23/2022,745.08000,745.08000
1000001,Hawler Drug Store,CM-000003944,Credit Memos,8/7/2022,745.08000,745.08000
1000001,Hawler Drug Store,CM-000004077,Credit Memos,8/14/2022,115.12000,115.12000
1000001,Hawler Drug Store,CM-000004302,Credit Memos,9/1/2022,745.08000,745.08000
1000001,Hawler Drug Store,SRTN-0000002691,Returns,6/6/2021,0.00000,0.00000
1000001,Hawler Drug Store,SRTN-0000002977,Returns,8/16/2021,0.00000,0.00000
1000001,Hawler Drug Store,SRTN-0000003333,Returns,11/15/2021,0.00000,0.00000
1000001,Hawler Drug Store,SRTN-0000003345,Returns,11/20/2021,0.00000,0.00000
1000001,Hawler Drug Store,SRTN-0000003563,Returns,1/20/2022,0.00000,0.00000
1000001,Hawler Drug Store,SRTN-0000003865,Returns,3/31/2022,0.00000,0.00000
1000001,Hawler Drug Store,SRTN-0000004491,Returns,7/21/2022,400.00000,400.00000
1000001,Hawler Drug Store,SRTN-0000004811,Returns,9/19/2022,0.00000,0.00000
1000001,Hawler Drug Store,PMT-0000009119,Payments,5/1/2021,0.00000,"5,685.52000"
1000001,Hawler Drug Store,PMT-0000009735,Payments,7/10/2021,0.00000,"6,156.32000"
1000001,Hawler Drug Store,PMT-0000009920,Payments,8/18/2021,0.00000,"5,089.68000"
1000001,Hawler Drug Store,PMT-0000010070,Payments,9/4/2021,0.00000,"1,800.00000"
1000001,Hawler Drug Store,PMT-0000011058,Payments,12/30/2021,0.00000,"9,817.52000"
1000001,Hawler Drug Store,PMT-0000011331,Payments,2/10/2022,0.00000,"2,700.00000"
1000001,Hawler Drug Store,PMT-0000011373,Payments,2/12/2022,0.00000,600.00000
1000001,Hawler Drug Store,PMT-0000011378,Payments,2/12/2022,0.00000,900.00000
1000001,Hawler Drug Store,PMT-0000011955,Payments,4/3/2022,0.00000,"10,903.12000"
1000001,Hawler Drug Store,PMT-0000011967,Payments,4/3/2022,0.00000,"1,660.00000"
1000001,Hawler Drug Store,PMT-0000012367,Payments,4/30/2022,0.00000,"-12,563.12000"
1000001,Hawler Drug Store,PMT-0000012447,Payments,5/1/2022,0.00000,"1,660.00000"
1000001,Hawler Drug Store,PMT-0000012448,Payments,5/1/2022,0.00000,"10,903.12000"
1000001,Hawler Drug Store,PMT-0000012621,Payments,5/11/2022,0.00000,"5,327.68000"
1000001,Hawler Drug Store,PMT-0000013478,Payments,7/23/2022,0.00000,"2,980.32000"
1000001,Hawler Drug Store,PMT-0000013656,Payments,7/31/2022,0.00000,"-2,980.32000"
1000001,Hawler Drug Store,PMT-0000013857,Payments,8/7/2022,0.00000,"2,980.32000"
1000001,Hawler Drug Store,PMT-0000014209,Payments,8/14/2022,0.00000,460.48000
1000001,Hawler Drug Store,PMT-0000014512,Payments,8/31/2022,0.00000,"-2,980.32000"
1000001,Hawler Drug Store,PMT-0000014718,Payments,9/1/2022,0.00000,"2,980.32000"
1000003,Khaldar Drug Store,SINV-0000033871,Sales / Invoices,4/5/2021,620.00000,620.00000
1000003,Khaldar Drug Store,SINV-0000033952,Sales / Invoices,4/6/2021,283.00000,283.00000
1000003,Khaldar Drug Store,SINV-0000034147,Sales / Invoices,4/11/2021,238.50000,238.50000
1000003,Khaldar Drug Store,SINV-0000034241,Sales / Invoices,4/13/2021,110.00000,110.00000
1000003,Khaldar Drug Store,SINV-0000034269,Sales / Invoices,4/14/2021,220.00000,220.00000
1000003,Khaldar Drug Store,SINV-0000034320,Sales / Invoices,4/15/2021,200.00000,200.00000
1000003,Khaldar Drug Store,SINV-0000034615,Sales / Invoices,4/25/2021,58.00000,58.00000
1000003,Khaldar Drug Store,SINV-0000034634,Sales / Invoices,4/26/2021,0.00000,0.00000
1000003,Khaldar Drug Store,SINV-0000034736,Sales / Invoices,4/28/2021,25.60000,25.60000
1000003,Khaldar Drug Store,SINV-0000034737,Sales / Invoices,4/28/2021,285.20000,285.20000
1000003,Khaldar Drug Store,SINV-0000034858,Sales / Invoices,5/3/2021,136.40000,136.40000
1000003,Khaldar Drug Store,SINV-0000034977,Sales / Invoices,5/6/2021,142.00000,142.00000
1000003,Khaldar Drug Store,SINV-0000035390,Sales / Invoices,5/18/2021,180.00000,180.00000
1000003,Khaldar Drug Store,SINV-0000035391,Sales / Invoices,5/18/2021,300.00000,300.00000
1000003,Khaldar Drug Store,SINV-0000035395,Sales / Invoices,5/18/2021,110.00000,110.00000
1000003,Khaldar Drug Store,SINV-0000035578,Sales / Invoices,5/20/2021,0.00000,0.00000
1000003,Khaldar Drug Store,SINV-0000035877,Sales / Invoices,5/27/2021,0.00000,0.00000
1000003,Khaldar Drug Store,SINV-0000036171,Sales / Invoices,6/2/2021,290.00000,290.00000
1000003,Khaldar Drug Store,SINV-0000036788,Sales / Invoices,6/14/2021,443.60000,443.60000
1000003,Khaldar Drug Store,SINV-0000036799,Sales / Invoices,6/14/2021,110.00000,110.00000
1000003,Khaldar Drug Store,SINV-0000036859,Sales / Invoices,6/15/2021,432.10000,432.10000
1000003,Khaldar Drug Store,SINV-0000037223,Sales / Invoices,6/22/2021,220.00000,220.00000
1000003,Khaldar Drug Store,SINV-0000037416,Sales / Invoices,6/27/2021,710.00000,710.00000
1000003,Khaldar Drug Store,SINV-0000037455,Sales / Invoices,6/28/2021,269.00000,269.00000
1000003,Khaldar Drug Store,SINV-0000037544,Sales / Invoices,7/3/2021,330.00000,330.00000
1000003,Khaldar Drug Store,SINV-0000037554,Sales / Invoices,7/3/2021,0.00000,0.00000
1000003,Khaldar Drug Store,SINV-0000038052,Sales / Invoices,7/13/2021,550.00000,550.00000
1000003,Khaldar Drug Store,SINV-0000038208,Sales / Invoices,7/18/2021,120.00000,120.00000
1000003,Khaldar Drug Store,SINV-0000038276,Sales / Invoices,7/25/2021,"1,202.80000","1,202.80000"
1000003,Khaldar Drug Store,SINV-0000038323,Sales / Invoices,7/26/2021,125.60000,125.60000
1000003,Khaldar Drug Store,SINV-0000038421,Sales / Invoices,7/27/2021,445.00000,445.00000
1000003,Khaldar Drug Store,SINV-0000038446,Sales / Invoices,7/27/2021,550.00000,550.00000
1000003,Khaldar Drug Store,SINV-0000038614,Sales / Invoices,7/31/2021,0.00000,0.00000
1000003,Khaldar Drug Store,SINV-0000038756,Sales / Invoices,8/3/2021,238.50000,238.50000
1000003,Khaldar Drug Store,SINV-0000038798,Sales / Invoices,8/4/2021,600.00000,600.00000
1000003,Khaldar Drug Store,SINV-0000038971,Sales / Invoices,8/7/2021,568.20000,568.20000
1000003,Khaldar Drug Store,SINV-0000039280,Sales / Invoices,8/12/2021,"1,473.30000","1,473.30000"
1000003,Khaldar Drug Store,SINV-0000039389,Sales / Invoices,8/15/2021,0.00000,0.00000
1000003,Khaldar Drug Store,SINV-0000039521,Sales / Invoices,8/17/2021,120.00000,120.00000
1000003,Khaldar Drug Store,SINV-0000039848,Sales / Invoices,8/25/2021,450.00000,450.00000
1000003,Khaldar Drug Store,SINV-0000039878,Sales / Invoices,8/26/2021,220.00000,220.00000
1000003,Khaldar Drug Store,SINV-0000040138,Sales / Invoices,9/4/2021,360.00000,360.00000
1000003,Khaldar Drug Store,SINV-0000040194,Sales / Invoices,9/5/2021,168.00000,168.00000
1000003,Khaldar Drug Store,SINV-0000040198,Sales / Invoices,9/5/2021,0.00000,0.00000
1000003,Khaldar Drug Store,SINV-0000040418,Sales / Invoices,9/11/2021,80.00000,80.00000
1000003,Khaldar Drug Store,SINV-0000040588,Sales / Invoices,9/15/2021,14.00000,14.00000
1000003,Khaldar Drug Store,SINV-0000040643,Sales / Invoices,9/16/2021,410.55000,410.55000
1000003,Khaldar Drug Store,SINV-0000040814,Sales / Invoices,9/21/2021,105.00000,105.00000
1000003,Khaldar Drug Store,SINV-0000040923,Sales / Invoices,9/25/2021,24.00000,24.00000
1000003,Khaldar Drug Store,SINV-0000041064,Sales / Invoices,9/28/2021,0.00000,0.00000
1000003,Khaldar Drug Store,SINV-0000041081,Sales / Invoices,9/28/2021,"3,000.00000","3,000.00000"
1000003,Khaldar Drug Store,SINV-0000041109,Sales / Invoices,9/29/2021,330.00000,330.00000
1000003,Khaldar Drug Store,SINV-0000041146,Sales / Invoices,10/2/2021,"1,200.00000","1,200.00000"
1000003,Khaldar Drug Store,SINV-0000041226,Sales / Invoices,10/3/2021,300.00000,300.00000
1000003,Khaldar Drug Store,SINV-0000041286,Sales / Invoices,10/4/2021,330.00000,330.00000
1000003,Khaldar Drug Store,SINV-0000041540,Sales / Invoices,10/11/2021,25.00000,25.00000
1000003,Khaldar Drug Store,SINV-0000041541,Sales / Invoices,10/11/2021,110.00000,110.00000
1000003,Khaldar Drug Store,SINV-0000041549,Sales / Invoices,10/11/2021,160.00000,160.00000
1000003,Khaldar Drug Store,SINV-0000041793,Sales / Invoices,10/16/2021,330.00000,330.00000
1000003,Khaldar Drug Store,SINV-0000041820,Sales / Invoices,10/17/2021,0.00000,0.00000
1000003,Khaldar Drug Store,SINV-0000041838,Sales / Invoices,10/17/2021,55.00000,55.00000
1000003,Khaldar Drug Store,SINV-0000041986,Sales / Invoices,10/20/2021,550.00000,550.00000
1000003,Khaldar Drug Store,SINV-0000041988,Sales / Invoices,10/20/2021,15.00000,15.00000
1000003,Khaldar Drug Store,SINV-0000042078,Sales / Invoices,10/23/2021,145.00000,145.00000
1000003,Khaldar Drug Store,SINV-0000042079,Sales / Invoices,10/23/2021,280.00000,280.00000
1000003,Khaldar Drug Store,SINV-0000042279,Sales / Invoices,10/27/2021,290.00000,290.00000
1000003,Khaldar Drug Store,SINV-0000042637,Sales / Invoices,11/8/2021,222.50000,222.50000
1000003,Khaldar Drug Store,SINV-0000042671,Sales / Invoices,11/8/2021,180.00000,180.00000
1000003,Khaldar Drug Store,SINV-0000042909,Sales / Invoices,11/15/2021,450.00000,450.00000
1000003,Khaldar Drug Store,SINV-0000043006,Sales / Invoices,11/17/2021,22.00000,22.00000
1000003,Khaldar Drug Store,SINV-0000043007,Sales / Invoices,11/17/2021,180.00000,180.00000
1000003,Khaldar Drug Store,SINV-0000043333,Sales / Invoices,11/25/2021,320.00000,320.00000
1000003,Khaldar Drug Store,SINV-0000043362,Sales / Invoices,11/27/2021,167.00000,167.00000
1000003,Khaldar Drug Store,SINV-0000043452,Sales / Invoices,11/29/2021,238.50000,238.50000
1000003,Khaldar Drug Store,SINV-0000043495,Sales / Invoices,11/30/2021,57.60000,57.60000
1000003,Khaldar Drug Store,SINV-0000043505,Sales / Invoices,11/30/2021,66.00000,66.00000
1000003,Khaldar Drug Store,SINV-0000043597,Sales / Invoices,12/2/2021,600.00000,600.00000
1000003,Khaldar Drug Store,SINV-0000043889,Sales / Invoices,12/9/2021,639.50000,639.50000
1000003,Khaldar Drug Store,SINV-0000043976,Sales / Invoices,12/12/2021,0.00000,0.00000
1000003,Khaldar Drug Store,SINV-0000044147,Sales / Invoices,12/15/2021,114.00000,114.00000
1000003,Khaldar Drug Store,SINV-0000044161,Sales / Invoices,12/15/2021,110.00000,110.00000
1000003,Khaldar Drug Store,SINV-0000044527,Sales / Invoices,12/26/2021,445.00000,445.00000
1000003,Khaldar Drug Store,SINV-0000044532,Sales / Invoices,12/26/2021,110.00000,110.00000
1000003,Khaldar Drug Store,SINV-0000044786,Sales / Invoices,1/2/2022,390.40000,390.40000
1000003,Khaldar Drug Store,SINV-0000045486,Sales / Invoices,1/16/2022,330.00000,330.00000
1000003,Khaldar Drug Store,SINV-0000045491,Sales / Invoices,1/16/2022,330.00000,330.00000
1000003,Khaldar Drug Store,SINV-0000045599,Sales / Invoices,1/18/2022,244.30000,244.30000
1000003,Khaldar Drug Store,SINV-0000045678,Sales / Invoices,1/19/2022,290.00000,290.00000
1000003,Khaldar Drug Store,SINV-0000045725,Sales / Invoices,1/20/2022,0.00000,0.00000
1000003,Khaldar Drug Store,SINV-0000046365,Sales / Invoices,2/5/2022,330.00000,330.00000
1000003,Khaldar Drug Store,SINV-0000046803,Sales / Invoices,2/13/2022,220.00000,220.00000
1000003,Khaldar Drug Store,SINV-0000046937,Sales / Invoices,2/16/2022,470.00000,470.00000
1000003,Khaldar Drug Store,SINV-0000047302,Sales / Invoices,2/26/2022,0.00000,0.00000
1000003,Khaldar Drug Store,SINV-0000047635,Sales / Invoices,3/6/2022,159.00000,159.00000
1000003,Khaldar Drug Store,SINV-0000047820,Sales / Invoices,3/12/2022,290.00000,290.00000
1000003,Khaldar Drug Store,SINV-0000047874,Sales / Invoices,3/13/2022,54.75000,54.75000
1000003,Khaldar Drug Store,SINV-0000047927,Sales / Invoices,3/14/2022,550.00000,550.00000
1000003,Khaldar Drug Store,SINV-0000048272,Sales / Invoices,3/24/2022,452.00000,452.00000
1000003,Khaldar Drug Store,SINV-0000049125,Sales / Invoices,4/16/2022,220.00000,220.00000
1000003,Khaldar Drug Store,SINV-0000049362,Sales / Invoices,4/21/2022,62.00000,62.00000
1000003,Khaldar Drug Store,SINV-0000049633,Sales / Invoices,5/7/2022,0.00000,0.00000
1000003,Khaldar Drug Store,SINV-0000049841,Sales / Invoices,5/11/2022,119.80000,119.80000
1000003,Khaldar Drug Store,SINV-0000049889,Sales / Invoices,5/12/2022,180.00000,180.00000
1000003,Khaldar Drug Store,SINV-0000050129,Sales / Invoices,5/19/2022,725.00000,725.00000
1000003,Khaldar Drug Store,SINV-0000050480,Sales / Invoices,6/1/2022,160.00000,160.00000
1000003,Khaldar Drug Store,SINV-0000050969,Sales / Invoices,6/16/2022,30.00000,30.00000
1000003,Khaldar Drug Store,SINV-0000051052,Sales / Invoices,6/19/2022,"1,800.00000","1,800.00000"
1000003,Khaldar Drug Store,SINV-0000051053,Sales / Invoices,6/19/2022,0.00000,0.00000
1000003,Khaldar Drug Store,SINV-0000051162,Sales / Invoices,6/22/2022,435.00000,435.00000
1000003,Khaldar Drug Store,SINV-0000051522,Sales / Invoices,7/5/2022,86.75000,86.75000
